"","CODIGO","DISTRITO","DEPARTAMENTO","MUNICIPIO","ESTABLECIMIENTO","DIRECCION","TELEFONO","SUPERVISOR","DIRECTOR","NIVEL","SECTOR","AREA","STATUS","MODALIDAD","JORNADA","PLAN","DEPARTAMENTAL","CODIGO_DEPARTAMENTO"
"1195","00-01-8323-46","01-310","CIUDAD CAPITAL","ZONA 1","LICEO BILINGUE LA PUERTA","6A AVENIDA 2-34","22515451","ALMA SALGUERO DE SALAZAR","MARIA GRISELDA EMPERATRIZ CABRERA CASTILLLO","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1196","00-01-8337-46","01-402","CIUDAD CAPITAL","ZONA 1","CENTRO DE ESTUDIOS MERCADLOGICOS Y PUBLICITARIOS","8A. AVENIDA 3-50","22329819","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1197","00-01-8338-46","01-402","CIUDAD CAPITAL","ZONA 1","CENTRO DE ESTUDIOS MERCADOLOGICOS Y PUBLICITARIOS","8A. AVENIDA 3-50","22329819","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1198","00-01-8351-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO DE INFORMATICA Y CIENCIAS COMERCIALES (POR MADUREZ)","4TA. AVE. 17-55","22205215","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1199","00-01-8352-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO DE INFORMATICA Y CIENCIAS COMERCIALES","4TA. AVE. 17-55","22321726","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1200","00-01-8375-46","01-401","CIUDAD CAPITAL","ZONA 1","INSTITUTO PROFESIONAL EN COMPUTACION EL AMIGO DE LA PATRIA (POR MADUREZ)","9A. CALLE 0-50","22539938","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1201","00-01-8379-46","01-301","CIUDAD CAPITAL","ZONA 1","ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL","12 AVENIDA 9-27","22531686","ERICK ESTUARDO SANCHEZ ARCHILA",NA,"DIVERSIFICADO","OFICIAL","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1202","00-01-8470-46","01-307","CIUDAD CAPITAL","ZONA 1","COLEGIO MIXTO BILINGUE EN COMPUTACION 'BEHULA'","4A. CALLE 10-26","22532477","NORMA ARACELY PALOMO FRANCO DE DIAZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1203","00-01-8478-46","01-103","CIUDAD CAPITAL","ZONA 1","INSTITUTO CIENTIFICO COMERCIAL EN COMPUTACION (POR MADUREZ)","6A. AVENIDA 1-34 ZONA 1",NA,"DORIS YANET ZECEÑA HERNANDEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA","TEMPORAL TITULOS","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1204","00-01-8499-46","01-401","CIUDAD CAPITAL","ZONA 1","CENTRO DE EDUCACION Y CULTURA MIRTHALA HURTADO","12 CALLE 10-37","22501016","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1205","00-01-8500-46","01-401","CIUDAD CAPITAL","ZONA 1","CENTRO DE EDUCACION Y CULTURA MIRTHALA DE HURTADO","12 CALLE 10-37","22501016","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1206","00-01-8504-46","01-403","CIUDAD CAPITAL","ZONA 1","ESCUELA TECNICA CIENCIA APLICADA (POR MADUREZ)","10 CALLE 3-15","22203730","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1207","00-01-8509-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO TECNICO INTEGRAL EN COMPUTACION Y TURISMO (POR MADUREZ)","9A. CALLE 3-25","22328164","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1208","00-01-8511-46","01-403","CIUDAD CAPITAL","ZONA 1","INSTITUTO TECNOLOGICO DIGITALES COMERCIALES","9A. CALLE 0-44","22382722","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1209","00-01-8521-46","01-317","CIUDAD CAPITAL","ZONA 1","LICEO MONTECARLO","4A. AV. 2-28","22519453","MARIANO DOMINGO ESTRADA TELETOR","EDGAR MANUEL SALOMON ESCOBAR","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1210","00-01-8523-46","01-305","CIUDAD CAPITAL","ZONA 1","LICEO MONTECARLO","4A. AVENIDA 2-28","22212089","ISIS IRAZEMA CANEL PALMA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1211","00-01-8524-46","01-303","CIUDAD CAPITAL","ZONA 1","COLEGIO TECNOLOGICO EMPRESARIAL","11AV. 9-12 ZONA 1","22205485","CLAUDIA PATRICIA RUIZ CASASOLA DE ESTRADA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1212","00-01-8526-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO MONTECARLO","5A. AVENIDA 4-36 ZONA 1","74725125","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1213","00-01-8533-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO MONTE CARLO","5A. AVENIDA 4-36","45336574","CARLOS HUMBERTO GONZALEZ DE LEON","EDGAR MANUEL SALOMON ESCOBAR","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1214","00-01-8535-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO MONTE CARLO (POR MADUREZ)","5A. AVENIDA 4-36","45336574","CARLOS HUMBERTO GONZALEZ DE LEON","EDGAR MANUEL SALOMON ESCOBAR","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1215","00-01-8559-46","01-401","CIUDAD CAPITAL","ZONA 1","INSTITUTO TECNOLOGICO DE CENTRO AMERICA","11 CALLE 11-28 ZONA 1","22320202","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1216","00-01-8560-46","01-401","CIUDAD CAPITAL","ZONA 1","INSTITUTO TECNOLOGICO DE CENTROAMERICA (POR MADUREZ)","11 CALLE 11-28 ZONA 1","22320202","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1217","00-01-8597-46","01-403","CIUDAD CAPITAL","ZONA 1","ESCUELA TECNICA SUPERIOR ALINARI (POR MADUREZ)","5A. CALLE 5-61","22204272","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1218","00-01-8599-46","01-301","CIUDAD CAPITAL","ZONA 1","COLEGIO MIXTO INDO LATINO","4A. AVENIDA 13-35","22380338","ERICK ESTUARDO SANCHEZ ARCHILA","SONIA ESTELA RAMREZ MORALES","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1219","00-01-8618-46","01-317","CIUDAD CAPITAL","ZONA 1","INSTITUTO PARTICULAR PARA SEÑORITAS NUESTRA SEÑORA DEL CARMEN","11 AV. 3-17","22320696","MARIANO DOMINGO ESTRADA TELETOR","MARIA DEL CARMEN TURCIOS DEL POZO","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1220","00-01-8645-46","01-627","CIUDAD CAPITAL","ZONA 1","COLEGIO MIXTO BILINGUE EN COMPUTACION BEHULA","7A. AV 4-35","22532477","ISAURA AMPARO RECINOS CARRILLO",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1221","00-01-8652-46","01-","CIUDAD CAPITAL","ZONA 1","INSTITUTO TECNOLOGICO DE CENTRO AMERICA","11 CALLE 11-28 ZONA 1","22320202","MARIA FELICITA ROQUE CARRERA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1222","00-01-8670-46","01-403","CIUDAD CAPITAL","ZONA 1","COLEGIO TECNICO INTEGRADO","12 CALLE 9-47","54016593","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","TEMPORAL TITULOS","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1223","00-01-8673-46","01-403","CIUDAD CAPITAL","ZONA 1","COLEGIO BILINGÜE ESPECIALIZADO EN COMPUTACIÓN YULIMAY´PC (POR MADUREZ)","12 CALLE 4-17","22091400","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","SABATINO","GUATEMALA NORTE","5"
"1224","00-01-8679-46","01-","CIUDAD CAPITAL","ZONA 1","COELGIO BILINGUE ESPECIALIZADO EN COMPUTACION YULIMAY PC (POR MADUREZ)","4A. AVENIDA 12-39","23241492","MARIA FELICITA ROQUE CARRERA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DOMINICAL","GUATEMALA NORTE","5"
"1225","00-01-8685-46","01-403","CIUDAD CAPITAL","ZONA 1","COLEGIO DE COMPUTACION Y SISTEMAS ELECTRONICOS","9AV. 12-73","22510252","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1226","00-01-8709-46","01-305","CIUDAD CAPITAL","ZONA 1","LICEO JUVENTUD XXI","4TA. CALLE A 1-37","22325917","ISIS IRAZEMA CANEL PALMA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1227","00-01-8736-46","01-401","CIUDAD CAPITAL","ZONA 1","COLEGIO PROYECTO EDUCATIVO FUTURISTA","12 CALLE A 14-56","54956612","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1228","00-01-8744-46","01-401","CIUDAD CAPITAL","ZONA 1","LICEO INTEGRAL FEMENIÑO","2A. AV. 5-34","22326602","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1229","00-01-8791-46","01-301","CIUDAD CAPITAL","ZONA 1","COLEGIO TECNICO EL PORVENIR","6A. AV. 1-34","56925504","ERICK ESTUARDO SANCHEZ ARCHILA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1230","00-01-8810-46","01-305","CIUDAD CAPITAL","ZONA 1","COLEGIO KEPLER","2A. AV. 15-25","22208366","ISIS IRAZEMA CANEL PALMA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1231","00-01-8812-46","01-627","CIUDAD CAPITAL","ZONA 1","COLEGIO KEPLER","2A. AV. 15-25","22208366","ISAURA AMPARO RECINOS CARRILLO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1232","00-01-8813-46","01-627","CIUDAD CAPITAL","ZONA 1","COLEGIO KEPLER","2A. AV. 15-25","22519040","ISAURA AMPARO RECINOS CARRILLO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1233","00-01-8815-46","01-401","CIUDAD CAPITAL","ZONA 1","INSTITUTO MIXTO PARTICULAR COACTEMALAN","11 CALLE 10-48","22327383","LILIAN DINORA PEREZ LOPEZ",NA,"DIVERSIFICADO","PRIVADO","URBANA","TEMPORAL TITULOS","MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1234","00-01-8838-46","01-307","CIUDAD CAPITAL","ZONA 1","LICEO REGIOMONTANO","9A. CALLE 2-64","22536762","NORMA ARACELY PALOMO FRANCO DE DIAZ","VIVIAN LIZBET MORALES GIIRON DE POSADAS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1235","00-01-8839-46","01-307","CIUDAD CAPITAL","ZONA 1","LICEO REGIOMONTANO","9A. CALLE 2-64","22536762","NORMA ARACELY PALOMO FRANCO DE DIAZ","HUGO LEONEL RODAS Y RODAS","DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1236","00-01-8842-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO REGIOMONTANO","9A. CALLE 2-64","22202670","CARLOS HUMBERTO GONZALEZ DE LEON","VIVIAN LIZBET MORALES GIRON DE POSADAS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1237","00-01-8844-46","01-307","CIUDAD CAPITAL","ZONA 1","CENTRO EDUCATIVO MONTENEVADO","3A. AV. 10-29","22537097","NORMA ARACELY PALOMO FRANCO DE DIAZ","OMAYRA LUCRECIA DIAZ","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1238","00-01-8845-46","01-307","CIUDAD CAPITAL","ZONA 1","CENTRO EDUCATIVO 'MONTENEVADO'","3A. AV. 10-29","22537097","NORMA ARACELY PALOMO FRANCO DE DIAZ",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1239","00-01-8868-46","01-402","CIUDAD CAPITAL","ZONA 1","INSTITUTO GUATEMALTECO ESPA","2A. CALLE 6-77","22206556","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","TEMPORAL TITULOS","MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1240","00-01-8875-46","01-303","CIUDAD CAPITAL","ZONA 1","INSTITUTO Y ACADEMIA GUATEMALA COMERCIAL","4A. AVENIDA 9-65","22534814","CLAUDIA PATRICIA RUIZ CASASOLA DE ESTRADA",NA,"DIVERSIFICADO","PRIVADO","URBANA","TEMPORAL TITULOS","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1241","00-01-8891-46","01-402","CIUDAD CAPITAL","ZONA 1","LICEO APLICADO EN COMPUTACION","2A.CALLE 6-77","22206556","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1242","00-01-8931-46","01-317","CIUDAD CAPITAL","ZONA 1","LICEO MIXTO EN COMPUTACION MONTELIMAR","10 AV. 11-27","22380684","MARIANO DOMINGO ESTRADA TELETOR",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1243","00-01-8932-46","01-317","CIUDAD CAPITAL","ZONA 1","LICEO MIXTO EN COMPUTACION 'MONTELIMAR'","10 AV. 11-27","22517687","MARIANO DOMINGO ESTRADA TELETOR",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1244","00-01-8935-46","01-627","CIUDAD CAPITAL","ZONA 1","LICEO MIXTO EN COMPUTACION MONTELIMAR","10 AV. 11-27","22517687","ISAURA AMPARO RECINOS CARRILLO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1245","00-01-8936-46","01-317","CIUDAD CAPITAL","ZONA 1","LICEO MIXTO EN COMPUTACION 'MONTELIMAR'","10 AV. 11-27 ZONA 1","22517687","MARIANO DOMINGO ESTRADA TELETOR",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1246","00-01-8938-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO CANADIENSE","11 CALLE 1-53","23750055","CARLOS HUMBERTO GONZALEZ DE LEON","ADA LUCRECIA MIJANGOS TEO DE ARANA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1247","00-01-8969-46","01-312","CIUDAD CAPITAL","ZONA 1","LICEO JUAN MANTOVANI","12 CALLE 2-45","22519398","AMADO SALOMON FLORES PEREZ",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1248","00-01-8971-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO JUAN MANTOVANI","12 CALLE 2-45","22519398","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1249","00-01-8974-46","01-627","CIUDAD CAPITAL","ZONA 1","COLEGIO MIXTO BILINGUE EN COMPUTACION BEHULA","7A. AVENIDA 4-35","22532477","ISAURA AMPARO RECINOS CARRILLO",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1250","00-01-8977-46","01-627","CIUDAD CAPITAL","ZONA 1","COLEGIO SALVA TERRA (POR MADUREZ)","2A. AVENIDA 14-60","22534347","ISAURA AMPARO RECINOS CARRILLO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1251","00-01-8981-46","01-312","CIUDAD CAPITAL","ZONA 1","COLEGIO INTEGRADO DE COMPUTACION 'LA ASUNCION'","9A. CALLE 1-60","22539506","AMADO SALOMON FLORES PEREZ",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","INTERMEDIA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1252","00-01-8983-46","01-403","CIUDAD CAPITAL","ZONA 1","COLEGIO INTEGRADO DE COMPUTACION 'LA ASUNCION'","9A. CALLE 1-60","22539506","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1253","00-01-8984-46","01-403","CIUDAD CAPITAL","ZONA 1","INSTITUTO RAFAEL LANDIVAR","8A. CALLE 2-46","22516035","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1254","00-01-8999-46","01-312","CIUDAD CAPITAL","ZONA 1","COLEGIO ACTIVO BILINGUE","3A. AVENIDA 11-53","22380831","AMADO SALOMON FLORES PEREZ",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1255","00-01-9021-46","01-318","CIUDAD CAPITAL","ZONA 1","INSTITUTO TECNOLOGICO DIGITALES COMERCIALES II","12AV. 13-25","22322306","LESLIE AZUCENA MONZON TECUN","EDGAR FERNANDO HURTARTE CRUZ","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1256","00-01-9027-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO TECNOLOGICO METROPOLITANO DE GUATEMALA","5A. AVENIDA 3-55","22327022","CARLOS HUMBERTO GONZALEZ DE LEON","FREDY AMILCAR CRUZ","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1257","00-01-9035-46","01-316","CIUDAD CAPITAL","ZONA 1","LICEO DE COMPUTACION SIGLO 21","12. AV. 13-67","22513852","CARLOS HUMBERTO GONZALEZ DE LEON","JOSE ANTONIO ARGUETA RECINOS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1258","00-01-9037-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO DE COMPUTACION SIGLO 21","12 AVENIDA. 13-67","22513852","CARLOS HUMBERTO GONZALEZ DE LEON","JOSE ANTONIO ARGUETA RECINOS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","FIN DE SEMANA","GUATEMALA NORTE","5"
"1259","00-01-9045-46","01-403","CIUDAD CAPITAL","ZONA 1","INSTITUTO TECNOLOGICO DIGITALES COMERCIALES II","12 AVENIDA 13-25","22322306","CARLOS HUMBERTO GONZALEZ DE LEON","REYNA DHELINA MENDEZ DE LEON","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1260","00-01-9047-46","01-403","CIUDAD CAPITAL","ZONA 1","INSTITUTO TECNOLOGICO DIGITALES COMERCIALES II","12 AVENIDA 13-25","22322306","CARLOS HUMBERTO GONZALEZ DE LEON","REYNA DHELINA MENDEZ DE LEON","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1261","00-01-9057-46","01-305","CIUDAD CAPITAL","ZONA 1","COLEGIO TECNICO COMERCIAL NAHUALA","3A. AVENIDA 13-23","22329664","ISIS IRAZEMA CANEL PALMA",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1262","00-01-9070-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO MIXTO CIENCIAS SECRETARIALES","4A. AVENIDA 4-12","22380855","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1263","00-01-9077-46","01-316","CIUDAD CAPITAL","ZONA 1","COLEGIO SANTA MARGARITA","8A. CALLE 0-41 ZONA 1","25160342","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1264","00-01-9088-46","01-403","CIUDAD CAPITAL","ZONA 1","LICEO MIXTO EN COMPUTACION IXCHEL","5A. AV. 3-79","22321568","CARLOS HUMBERTO GONZALEZ DE LEON",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1265","00-01-9116-46","01-627","CIUDAD CAPITAL","ZONA 1","CENTRO EDUCATIVO MIXTO MONTENEVADO","3A. AVENIDA 10-29","22537097","ISAURA AMPARO RECINOS CARRILLO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1266","00-01-9168-46","01-317","CIUDAD CAPITAL","ZONA 1","COLEGIO TECNICO INDUSTRIAL LUIS CARDOZA Y ARAGON","5TA. CALLE 1-20 Y 1-34","22323410","MARIANO DOMINGO ESTRADA TELETOR","BENAVENTI COLDGIN FUENTES PEREIRA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1267","00-01-9170-46","01-403","CIUDAD CAPITAL","ZONA 1","COLEGIO VALVERDE","5A. CALLE 5-14","22093200","CARLOS HUMBERTO GONZALEZ DE LEON","LESLIE ROCKSANDA CHONG VARELA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","GUATEMALA NORTE","5"
"1268","00-01-9172-46","01-318","CIUDAD CAPITAL","ZONA 1","COLEGIO VALVERDE","5A. CALLE 5-14","22093200","LESLIE AZUCENA MONZON TECUN",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1269","00-01-9173-46","01-318","CIUDAD CAPITAL","ZONA 1","COLEGIO VALVERDE","5A. AVENIDA 5-39","22303636","LESLIE AZUCENA MONZON TECUN",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","DIARIO(REGULAR)","GUATEMALA NORTE","5"
"1270","00-01-9179-46","01-312","CIUDAD CAPITAL","ZONA 1","LICEO EN COMPUTACION 'DE LA ROCA'","9A. CALLE 3-19","22537837","AMADO SALOMON FLORES PEREZ",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","GUATEMALA NORTE","5"
